Image Name, Tortuosity, s/chord-1, tc, tsc, tc/s, tsc/s, tc/chord, tsc/chord, chandrinos, goh
282_Vena.jpg,1.778023,0.090775,8.765067,0.180808,0.011006,0.000227,0.012005,0.000248,0.209240,2.000000
3_Vena.jpg,0.993742,0.099491,3.666073,0.029381,0.003900,0.000031,0.004288,0.000034,0.074212,0.000000
4_Vena.jpg,0.156267,0.015744,4.298618,0.038267,0.004927,0.000044,0.005004,0.000045,0.093672,0.000000
6_Vena.jpg,0.075034,0.007617,2.233732,0.009467,0.002508,0.000011,0.002527,0.000011,0.047701,0.000000
16_Vena.jpg,0.423371,0.031238,4.568462,0.050916,0.005059,0.000056,0.005217,0.000058,0.096110,1.000000
24_Vena.jpg,1.436350,0.041738,6.082225,0.118863,0.006876,0.000134,0.007163,0.000140,0.130698,1.000000
29_Vena.jpg,2.210395,0.069892,10.043591,0.237451,0.012362,0.000292,0.013226,0.000313,0.234877,4.000000
38_Vena.jpg,0.869529,0.033831,6.750351,0.107665,0.008163,0.000130,0.008439,0.000135,0.163181,1.000000
42_Vena.jpg,3.070459,0.037968,9.653838,0.251508,0.011567,0.000301,0.012006,0.000313,0.231073,4.000000
43_Vena.jpg,7.596331,0.192903,16.228247,0.503587,0.017067,0.000530,0.020360,0.000632,0.340980,9.000000
49_Vena.jpg,16.411658,0.265292,18.648862,0.630816,0.016999,0.000575,0.021508,0.000728,0.536885,9.000000
72_Vena.jpg,0.162653,0.016378,4.230007,0.031451,0.004671,0.000035,0.004747,0.000035,0.088815,0.000000
93_Vena.jpg,22.653083,0.346060,18.640213,0.721820,0.017598,0.000681,0.023687,0.000917,0.821634,11.000000
101_Vena.jpg,0.971749,0.061681,6.108543,0.113227,0.007206,0.000134,0.007651,0.000142,0.136999,2.000000
128_Vena.jpg,0.277351,0.027866,2.071624,0.013401,0.002647,0.000017,0.002721,0.000018,0.050362,0.000000
143_Vena.jpg,0.155728,0.015693,3.555777,0.035608,0.004178,0.000042,0.004244,0.000042,0.079428,0.000000
152_Vena.jpg,0.689294,0.034538,7.291387,0.120442,0.007991,0.000132,0.008267,0.000137,0.151850,2.000000
175_Vena.jpg,2.638116,0.117830,8.931046,0.173971,0.009046,0.000176,0.010112,0.000197,0.171882,3.000000
181_Vena.jpg,2.009010,0.065202,8.509287,0.178883,0.009268,0.000195,0.009872,0.000208,0.185241,3.000000
197_Vena.jpg,0.548363,0.016056,5.484640,0.179847,0.006343,0.000208,0.006445,0.000211,0.126651,3.000000
213_Vena.jpg,1.079280,0.076882,6.891853,0.115911,0.007399,0.000124,0.007968,0.000134,0.140591,2.000000
221_Vena.jpg,1.493255,0.127297,6.410566,0.084835,0.006544,0.000087,0.007377,0.000098,0.124425,1.000000
224_Vena.jpg,0.969313,0.046401,8.390153,0.145050,0.009623,0.000166,0.010070,0.000174,0.182912,3.000000
229_Vena.jpg,0.830351,0.060397,5.732286,0.063258,0.006654,0.000073,0.007056,0.000078,0.126541,0.000000
241_Vena.jpg,1.670558,0.099751,8.102643,0.156329,0.009265,0.000179,0.010189,0.000197,0.176041,3.000000
247_Vena.jpg,1.094941,0.177726,5.810028,0.068207,0.005738,0.000067,0.006758,0.000079,0.109061,0.000000
250_Vena.jpg,0.312925,0.027812,4.219306,0.073572,0.005227,0.000091,0.005373,0.000094,0.099419,1.000000
270_Vena.jpg,0.768753,0.048057,5.422504,0.071312,0.006196,0.000081,0.006493,0.000085,0.117824,0.000000
272_Vena.jpg,2.192249,0.085014,7.437738,0.126844,0.008040,0.000137,0.008724,0.000149,0.152847,3.000000
279_Vena.jpg,1.884433,0.249432,7.218669,0.104329,0.008636,0.000125,0.010790,0.000156,0.164230,1.000000
