Image Name, Tortuosity, s/chord-1, tc, tsc, tc/s, tsc/s, tc/chord, tsc/chord, chandrinos, goh
251_Arteria.jpg,2.034429,0.130115,5.947945,0.089048,0.005939,0.000089,0.006712,0.000100,0.112953,2.000000
1_Arteria.jpg,1.229386,0.123050,4.528515,0.038298,0.004465,0.000038,0.005014,0.000042,0.084903,0.000000
8_Arteria.jpg,15.153913,0.253949,14.741336,0.358285,0.012987,0.000316,0.016286,0.000396,0.247066,4.000000
10_Arteria.jpg,7.157225,0.167327,9.824916,0.228963,0.009408,0.000219,0.010982,0.000256,0.178977,2.000000
11_Arteria.jpg,12.864453,0.209396,14.134760,0.316961,0.012801,0.000287,0.015481,0.000347,0.243442,7.000000
14_Arteria.jpg,6.591965,0.254613,11.553775,0.191531,0.010330,0.000171,0.012960,0.000215,0.196450,2.000000
15_Arteria.jpg,8.646902,0.293817,13.845955,0.295507,0.011810,0.000252,0.015280,0.000326,0.427498,8.000000
26_Arteria.jpg,3.112874,0.104542,9.061303,0.170029,0.009312,0.000175,0.010285,0.000193,0.177086,2.000000
32_Arteria.jpg,4.871837,0.069357,11.327612,0.318325,0.011986,0.000337,0.012817,0.000360,0.227640,5.000000
35_Arteria.jpg,2.501696,0.056544,9.547034,0.178742,0.010797,0.000202,0.011407,0.000214,0.205196,2.000000
48_Arteria.jpg,5.757428,0.088398,11.939890,0.234445,0.012231,0.000240,0.013312,0.000261,0.232472,5.000000
56_Arteria.jpg,0.233277,0.014966,3.128134,0.026555,0.003459,0.000029,0.003511,0.000030,0.065772,0.000000
73_Arteria.jpg,0.557671,0.039296,4.925774,0.054902,0.005675,0.000063,0.005898,0.000066,0.107776,0.000000
102_Arteria.jpg,0.249359,0.025051,4.012061,0.036611,0.004475,0.000041,0.004587,0.000042,0.085104,0.000000
110_Arteria.jpg,1.794514,0.104139,7.564598,0.098129,0.007630,0.000099,0.008424,0.000109,0.145032,1.000000
127_Arteria.jpg,0.695439,0.067341,5.894888,0.062798,0.006240,0.000066,0.006660,0.000071,0.118660,0.000000
144_Arteria.jpg,1.999457,0.086449,8.021120,0.128050,0.008368,0.000134,0.009091,0.000145,0.159029,2.000000
155_Arteria.jpg,2.171724,0.047089,8.696381,0.164668,0.009218,0.000175,0.009652,0.000183,0.175099,3.000000
169_Arteria.jpg,1.197893,0.119915,3.323718,0.019238,0.003714,0.000021,0.004160,0.000024,0.070684,0.000000
179_Arteria.jpg,18.117237,0.199276,16.317034,0.441853,0.014984,0.000406,0.017970,0.000487,0.502527,11.000000
182_Arteria.jpg,7.129275,0.236197,11.528007,0.223212,0.010362,0.000201,0.012809,0.000248,0.197054,3.000000
186_Arteria.jpg,0.552055,0.055318,3.138106,0.018178,0.003337,0.000019,0.003522,0.000020,0.063514,0.000000
205_Arteria.jpg,3.404574,0.170600,6.470782,0.107160,0.006237,0.000103,0.007302,0.000121,0.118563,2.000000
209_Arteria.jpg,0.520835,0.052199,3.251848,0.024961,0.003565,0.000027,0.003751,0.000029,0.067821,0.000000
222_Arteria.jpg,1.220595,0.056334,6.288005,0.106485,0.006711,0.000114,0.007089,0.000120,0.127492,2.000000
230_Arteria.jpg,0.462859,0.046400,3.772358,0.028609,0.004087,0.000031,0.004276,0.000032,0.077760,0.000000
238_Arteria.jpg,0.519345,0.052048,2.011593,0.007161,0.002161,0.000008,0.002273,0.000008,0.041117,0.000000
242_Arteria.jpg,1.000621,0.110590,4.919649,0.044552,0.005046,0.000046,0.005603,0.000051,0.095988,1.000000
243_Arteria.jpg,5.130067,0.146061,11.194170,0.278468,0.012098,0.000301,0.013865,0.000345,0.229962,4.000000
248_Arteria.jpg,3.441090,0.109186,11.453022,0.263778,0.011432,0.000263,0.012681,0.000292,0.217232,4.000000
